"predict_proba"	"true_label"	"fname"	"test_label"	"predicted_label"	"predicted_label_name"
"1"	"0.00327733322046697"	"linear"	"plot_turk2_100_125_5_1_18.png"	"0"	0	"norela"
"2"	"0.53226774930954"	"linear"	"plot_turk2_100_125_5_2_9.png"	"0"	1	"linear"
"3"	"0.839860320091248"	"linear"	"plot_turk2_100_125_5_3_6.png"	"0"	1	"linear"
"4"	"0.204217821359634"	"linear"	"plot_turk2_100_125_5_4_6.png"	"0"	0	"norela"
"5"	"0.80702155828476"	"linear"	"plot_turk2_100_125_5_5_17.png"	"0"	1	"linear"
"6"	"0.593738794326782"	"linear"	"plot_turk2_100_150_12_1_14.png"	"0"	1	"linear"
"7"	"0.727708280086517"	"linear"	"plot_turk2_100_150_12_2_8.png"	"0"	1	"linear"
"8"	"0.878174722194672"	"linear"	"plot_turk2_100_150_12_3_10.png"	"0"	1	"linear"
"9"	"0.0929748713970184"	"linear"	"plot_turk2_100_150_12_4_18.png"	"0"	0	"norela"
"10"	"0.918522000312805"	"linear"	"plot_turk2_100_175_5_1_3.png"	"0"	1	"linear"
"11"	"0.0738601833581924"	"linear"	"plot_turk2_100_175_5_2_15.png"	"0"	0	"norela"
"12"	"0.651286423206329"	"linear"	"plot_turk2_100_175_5_3_9.png"	"0"	1	"linear"
"13"	"0.0485204234719276"	"linear"	"plot_turk2_100_25_5_1_7.png"	"0"	0	"norela"
"14"	"0.71497106552124"	"linear"	"plot_turk2_100_25_5_2_13.png"	"0"	1	"linear"
"15"	"0.259742766618729"	"linear"	"plot_turk2_100_25_5_3_5.png"	"0"	0	"norela"
"16"	"0.050646711140871"	"linear"	"plot_turk2_100_25_5_4_15.png"	"0"	0	"norela"
"17"	"0.147889450192451"	"linear"	"plot_turk2_100_275_5_1_17.png"	"0"	0	"norela"
"18"	"0.00521773425862193"	"linear"	"plot_turk2_100_275_5_2_1.png"	"0"	0	"norela"
"19"	"0.757474839687347"	"linear"	"plot_turk2_100_275_5_3_18.png"	"0"	1	"linear"
"20"	"0.0530725717544556"	"linear"	"plot_turk2_100_350_12_1_1.png"	"0"	0	"norela"
"21"	"0.447870820760727"	"linear"	"plot_turk2_100_350_12_2_15.png"	"0"	0	"norela"
"22"	"0.311937987804413"	"linear"	"plot_turk2_100_350_12_3_10.png"	"0"	0	"norela"
"23"	"0.27505749464035"	"linear"	"plot_turk2_100_350_12_4_5.png"	"0"	0	"norela"
"24"	"0.851950347423553"	"linear"	"plot_turk2_100_350_12_5_19.png"	"0"	1	"linear"
"25"	"0.184099391102791"	"linear"	"plot_turk2_100_450_12_1_20.png"	"0"	0	"norela"
"26"	"0.915993094444275"	"linear"	"plot_turk2_100_450_12_2_3.png"	"0"	1	"linear"
"27"	"0.110827580094337"	"linear"	"plot_turk2_100_450_12_3_2.png"	"0"	0	"norela"
"28"	"0.878143131732941"	"linear"	"plot_turk2_100_50_12_1_3.png"	"0"	1	"linear"
"29"	"0.020944606512785"	"linear"	"plot_turk2_100_50_12_2_13.png"	"0"	0	"norela"
"30"	"0.106389112770557"	"linear"	"plot_turk2_100_50_12_3_13.png"	"0"	0	"norela"
"31"	"0.00158524955622852"	"linear"	"plot_turk2_100_600_12_1_19.png"	"0"	0	"norela"
"32"	"0.00166534667368978"	"linear"	"plot_turk2_100_600_12_2_19.png"	"0"	0	"norela"
"33"	"0.609785735607147"	"linear"	"plot_turk2_100_600_12_3_17.png"	"0"	1	"linear"
"34"	"0.392760992050171"	"linear"	"plot_turk2_100_600_12_4_1.png"	"0"	0	"norela"
"35"	"0.357506692409515"	"linear"	"plot_turk2_100_75_5_1_13.png"	"0"	0	"norela"
"36"	"0.182853817939758"	"linear"	"plot_turk2_100_75_5_2_8.png"	"0"	0	"norela"
"37"	"0.566653966903687"	"linear"	"plot_turk2_100_75_5_3_15.png"	"0"	1	"linear"
"38"	"0.0699408054351807"	"linear"	"plot_turk2_300_100_5_1_3.png"	"0"	0	"norela"
"39"	"0.00576298916712403"	"linear"	"plot_turk2_300_100_5_2_13.png"	"0"	0	"norela"
"40"	"0.835562586784363"	"linear"	"plot_turk2_300_100_5_3_4.png"	"0"	1	"linear"
"41"	"0.807613909244537"	"linear"	"plot_turk2_300_10_5_1_3.png"	"0"	1	"linear"
"42"	"0.188922598958015"	"linear"	"plot_turk2_300_10_5_2_16.png"	"0"	0	"norela"
"43"	"0.0639790296554565"	"linear"	"plot_turk2_300_10_5_3_18.png"	"0"	0	"norela"
"44"	"0.000241728048422374"	"linear"	"plot_turk2_300_150_5_1_10.png"	"0"	0	"norela"
"45"	"0.0430033579468727"	"linear"	"plot_turk2_300_150_5_2_1.png"	"0"	0	"norela"
"46"	"0.0783580392599106"	"linear"	"plot_turk2_300_150_5_3_19.png"	"0"	0	"norela"
"47"	"0.0412188358604908"	"linear"	"plot_turk2_300_175_12_1_6.png"	"0"	0	"norela"
"48"	"0.517919778823853"	"linear"	"plot_turk2_300_175_12_2_11.png"	"0"	1	"linear"
"49"	"0.825695335865021"	"linear"	"plot_turk2_300_175_12_3_10.png"	"0"	1	"linear"
"50"	"0.333008319139481"	"linear"	"plot_turk2_300_230_12_1_5.png"	"0"	0	"norela"
"51"	"0.0604319684207439"	"linear"	"plot_turk2_300_230_12_2_7.png"	"0"	0	"norela"
"52"	"0.761888265609741"	"linear"	"plot_turk2_300_230_12_3_10.png"	"0"	1	"linear"
"53"	"0.0703924298286438"	"linear"	"plot_turk2_300_230_12_4_10.png"	"0"	0	"norela"
"54"	"0.339268952608109"	"linear"	"plot_turk2_300_230_12_5_19.png"	"0"	0	"norela"
"55"	"0.862618625164032"	"linear"	"plot_turk2_300_350_12_1_16.png"	"0"	1	"linear"
"56"	"0.245752036571503"	"linear"	"plot_turk2_300_350_12_2_13.png"	"0"	0	"norela"
"57"	"0.856572508811951"	"linear"	"plot_turk2_300_350_12_3_20.png"	"0"	1	"linear"
"58"	"0.713932514190674"	"linear"	"plot_turk2_300_40_5_1_14.png"	"0"	1	"linear"
"59"	"0.613555669784546"	"linear"	"plot_turk2_300_40_5_2_11.png"	"0"	1	"linear"
"60"	"0.0015284598339349"	"linear"	"plot_turk2_300_40_5_3_15.png"	"0"	0	"norela"
"61"	"0.0654568076133728"	"linear"	"plot_turk2_300_70_5_1_17.png"	"0"	0	"norela"
"62"	"0.840212285518646"	"linear"	"plot_turk2_300_70_5_2_7.png"	"0"	1	"linear"
"63"	"0.199366554617882"	"linear"	"plot_turk2_300_70_5_3_3.png"	"0"	0	"norela"
"64"	"0.00122844194993377"	"linear"	"plot_turk2_300_80_12_1_11.png"	"0"	0	"norela"
"65"	"0.00444816425442696"	"linear"	"plot_turk2_300_80_12_2_11.png"	"0"	0	"norela"
"66"	"0.263022094964981"	"linear"	"plot_turk2_300_80_12_3_17.png"	"0"	0	"norela"
"67"	"0.0171245504170656"	"linear"	"plot_turk2_300_80_12_4_19.png"	"0"	0	"norela"
"68"	"0.803463280200958"	"norela"	"plot_turk2_300_0_12_1_6.png"	"1"	1	"linear"
"69"	"0.536775588989258"	"norela"	"plot_turk2_300_0_12_2_18.png"	"1"	1	"linear"
"70"	"0.894860565662384"	"norela"	"plot_turk2_300_0_12_3_14.png"	"1"	1	"linear"
