"","n","beta","sigma","ct$p.value"
"1",392,8.52217261821497,2.09410684765317,7.67869597426645e-255
"2",369,7.25727021223865,8.55828437861055,1.55895041893421e-41
"3",106,5.83050629212521,5.42071974906139,1.22188899631159e-17
"4",402,-3.26840764402878,7.50363781256601,2.11186100384279e-12
"5",484,3.07341657986399,8.59020786639303,9.61124125133642e-15
"6",124,-8.96487905362155,7.54453065083362,4.14457407533372e-29
"7",127,-8.73740957165137,1.08854901464656,2.52871042645174e-114
"8",325,1.00906828381121,9.63303779927082,0.247264643588743
"9",88,-0.201509504392743,3.83154420997016,0.513740978559058
"10",263,-9.43161212373525,5.10694235214032,7.90162132713544e-86
"11",327,-4.18605121409055,1.8891613187734,1.81251911088683e-129
"12",408,-2.66804107672069,4.08271786873229,2.11677221937314e-34
"13",370,8.45078915846534,1.24096860829741,1.47941613844269e-316
"14",490,-5.00847290176898,2.79303593211807,8.89574142522696e-150
"15",264,1.36028638230637,2.82085762312636,1.952002645456e-13
"16",365,3.53964658093173,11.2944137493614,2.32908358435023e-07
"17",251,4.63966468125582,6.87127883522771,3.63124281266598e-27
"18",59,-6.41714546331204,10.4342486846726,0.000133303417849153
"19",443,-0.850710460520349,1.36930555850267,3.60364841944809e-32
"20",366,5.85411640449893,10.6238829754293,1.03201565532025e-32
"21",227,4.70893763394561,7.85753593407571,2.28210008681443e-17
"22",259,-5.23693022686057,1.15044684964232,1.47598954527647e-175
"23",242,-2.05612743028905,9.6434510522522,0.149664645470623
"24",227,8.38985554291867,5.84119923901744,1.15512523238939e-51
"25",75,2.18448742586188,4.9157215829473,0.000739025256894253
"26",389,0.768079636921175,11.5966199033428,0.567332718702778
"27",451,-3.91766547430307,5.34404110279866,9.02372826492202e-52
"28",456,2.38015017383732,6.29145323322155,1.06872191915595e-13
"29",55,-5.35971777772065,7.58833469520323,0.000166318852039657
"30",456,1.40926526843105,3.22483522281982,1.56662969633349e-24
"31",93,-3.35490636369213,9.8518536859192,0.00716710380629078
"32",352,7.03119980799966,3.35783372423612,1.13934314290673e-129
"33",121,6.98575303826947,6.46971385995857,3.85990768673174e-15
"34",78,8.13066949946806,6.53877950832248,6.04774482936662e-16
"35",322,-2.91439021911938,7.84884260757826,9.17268194221121e-10
"36",436,-1.37619702049997,11.1116155739874,0.0120844354470164
"37",302,-4.25948080159724,4.31405914481729,9.38656965515595e-41
"38",357,-7.94226136077195,8.81125690578483,3.75252396669714e-44
"39",235,-3.67462617950514,8.46159332222305,3.22820072003824e-09
