"","n","beta","sigma","ct$p.value"
"1",162,0,5.81763758976012,0.387050473771013
"2",319,0,1.69097402621992,0.698190517377603
"3",308,0,1.97237117961049,0.754873128903971
"4",272,0,5.09259934420697,0.101583131031243
"5",169,0,9.15641389973462,0.49995810446277
"6",432,0,8.09460883261636,0.628009738588151
"7",213,0,4.87998648546636,0.704588493638142
"8",249,0,7.82065137522295,0.744380711346469
"9",134,0,7.91735304496251,0.892455832930973
"10",187,0,5.63316433597356,0.0976243467006026
"11",475,0,8.8000066911336,0.316911415516718
"12",238,0,1.17492536804639,0.457144683950718
"13",347,0,5.59791251225397,0.372797926305839
"14",235,0,4.51604187861085,0.300003644568595
"15",174,0,9.35993061633781,0.718665446102859
"16",428,0,4.17505843681283,0.0661158492597698
"17",345,0,2.05665523512289,0.131423338035371
"18",157,0,6.70334553532302,0.870127669464209
"19",496,0,6.57307821512222,0.488206515649041
"20",364,0,8.48279383103363,0.19238397391878
"21",58,0,3.71126529108733,0.246312884011283
"22",290,0,4.89138621161692,0.0419056746804522
"23",178,0,2.33487819717266,0.356765631029144
"24",422,0,10.6300790857058,0.147057317567657
"25",417,0,6.83998324605636,0.185431507323583
"26",484,0,1.24951494345441,0.944191392848949
"27",123,0,1.03143477416597,0.930882819345489
"28",111,0,2.42141960817389,0.885275285608732
"29",119,0,2.19676903891377,0.965967226943171
"30",480,0,3.69898100709543,0.371243307358487
"31",277,0,11.9369263059925,0.102502111509513
"32",217,0,3.65206522983499,0.752345382197327
"33",366,0,5.3299232008867,0.801776511227346
"34",73,0,5.06356252427213,0.933866976889401
"35",58,0,11.9513536086306,0.703044340791921
"36",229,0,8.28721080766991,0.22174993988542
"37",121,0,4.38322195759974,0.486114127155251
"38",387,0,8.76181195955724,0.154773192150198
"39",96,0,6.03400511387736,0.0872305535453357
"40",169,0,7.67375374934636,0.582293790592473
"41",325,0,4.07089016120881,0.684268400542949
"42",488,0,5.73778855288401,0.343147503062145
"43",474,0,7.04649519198574,0.510171705538598
"44",269,0,8.49014992639422,0.649206246424387
"45",396,0,7.00949859363027,0.394523515385065
"46",157,0,1.0285419493448,0.211284169366966
"47",447,0,4.73955645551905,0.600055116249108
"48",336,0,2.05439090821892,0.297479709784731
"49",340,0,11.0765617594589,0.710748744070501
"50",134,0,4.52608861494809,0.686062326693696
"51",247,0,11.4541598341893,0.3313496332348
"52",219,0,11.2173491320573,0.265186088245939
"53",207,0,6.4729312628042,0.953371447038173
"54",408,0,3.1739218076691,0.64668248241743
"55",99,0,2.76315078930929,0.428360900198014
"56",295,0,3.86023267172277,0.667009239746244
"57",255,0,5.35078836465254,0.500882770761992
"58",407,0,9.60284599103034,0.689998713438026
"59",61,0,6.10766444331966,0.866350090273679
"60",104,0,2.61592887225561,0.692987290736242
"61",378,0,11.2888436373323,0.610844580950412
"62",298,0,9.6340843080543,0.45937920478113
"63",329,0,4.46431780979037,0.79020110701781
"64",458,0,3.75632471777499,0.67948677875012
"65",244,0,2.91606105328538,0.931872221653504
"66",211,0,7.54554755543359,0.527649613983199
"67",94,0,2.17423352715559,0.660358265423614
"68",314,0,3.16839467664249,0.916486246425917
"69",268,0,5.5262071818579,0.195960545705514
"70",413,0,5.87638152530417,0.172657636615574
"71",268,0,8.44549575867131,0.251686729442408
"72",133,0,5.36248147161677,0.138051861101489
"73",91,0,7.4001349536702,0.74757747257272
"74",479,0,8.39093656744808,0.646874596732072
"75",410,0,9.4673462882638,0.591120733136973
"76",375,0,3.85546993254684,0.858381860172815
"77",290,0,3.04470864124596,0.188807201035129
"78",449,0,2.20619024825282,0.359819040776479
"79",424,0,3.45126737793908,0.574578414351765
"80",224,0,5.55073950206861,0.348169279142642
"81",370,0,4.08862576656975,0.614913656745245
"82",136,0,4.30403443938121,0.256960611886381
"83",500,0,10.4730296810158,0.432858544545981
"84",339,0,3.38045222708024,0.1038818708034
"85",187,0,8.09985476615839,0.599706772040396
"86",399,0,5.03216530918144,0.785668380883843
"87",160,0,9.38792544533499,0.354497066190433
"88",334,0,1.69445310044102,0.917371684337282
"89",451,0,11.9124238947406,0.0438360725146896
"90",142,0,4.32095211744308,0.246411565998861
"91",426,0,2.68875550432131,0.729786224892189
"92",221,0,7.00023250211962,0.558468820763435
"93",312,0,7.05297445389442,0.579961971973146
"94",458,0,11.8612966169603,0.382255041193895
"95",379,0,10.1888630010653,0.514226353477601
"96",87,0,1.38963701971807,0.193319540631593
"97",302,0,4.47105179727077,0.102827832104032
